stop_name,type,line_name,stop_id,location,identifier,district,neighborhood,east_west_admin
"Spandau, Landesnervenklinik",autobus,A5,1965158,"52.56341330,13.15430729",,Spandau,Falkenhagener Feld,west
S-Bhf. Wannsee,autobus,A6,1965159,"52.42146076,13.17811897",,Steglitz-Zehlendorf,Wannsee,west
Königstrasse Ecke Kronprinzessinnenweg,autobus,A6,1965160,"52.41993325,13.17531239",,Steglitz-Zehlendorf,Wannsee,west
Pfaueninselschaussee Ecke Königstrasse,autobus,A6,1965161,"52.41884731,13.15300813",,Steglitz-Zehlendorf,Wannsee,west
Friedenstrasse Ecke Königstrasse,autobus,A6,1965162,"52.41722225,13.13897505",,Steglitz-Zehlendorf,Wannsee,west
Schäferberg,autobus,A6,1965163,"52.41562662,13.12630868",,Steglitz-Zehlendorf,Wannsee,west
Nikolskoerweg Ecke Königstrasse,autobus,A6,1965164,"52.41402767,13.10923663",,Steglitz-Zehlendorf,Wannsee,west
Glienicker Brücke,autobus,A6,1965165,"52.41347409,13.09123588",,Steglitz-Zehlendorf,Wannsee,west
"Haselhorst, Kirche",autobus,A10,1965166,"52.54682818,13.23706589",,Spandau,Haselhorst,west
Paulsternstrasse Ecke Nonnendamm,autobus,A10,1965167,"52.53816278,13.24773062",,Spandau,Haselhorst,west
Verwaltungs-Gebaüde,autobus,A10,1965168,"52.53706333,13.26228517",,Spandau,Siemensstadt,west
Spandauerdamm Ecke Fürstenbrunnerweg,autobus,A10,1965169,"52.51839041,13.28021290",,Charlottenburg-Wilmersdorf,Westend,west
U-Bhf. Kaiserdamm,autobus,A10,1965170,"52.50999451,13.28180313",,Charlottenburg-Wilmersdorf,Westend,west
Masurenallee Ecke Messedamm,autobus,A10,1965171,"52.50646272,13.28040040",,Charlottenburg-Wilmersdorf,Westend,west
Amtsgericht,autobus,A10,1965172,"52.50682618,13.29739145",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Kurfürstendamm Ecke Joachim-Friedrichstrasse,autobus,A10,1965173,"52.49800512,13.29619975",,Charlottenburg-Wilmersdorf,Halensee,west
Rathenauplatz,autobus,A10,1965174,"52.49561135,13.28657375",,Charlottenburg-Wilmersdorf,Halensee,west
Elsterplatz,autobus,A10,1965175,"52.47977983,13.28550761",,Charlottenburg-Wilmersdorf,Schmargendorf,west
Hundekehlestrasse Ecke Warnemünderstrasse,autobus,A10,1965176,"52.47539508,13.29037561",,Charlottenburg-Wilmersdorf,Schmargendorf,west
Königin-Luise-Strasse Ecke Pacelliallee,autobus,A10,1965177,"52.45831131,13.28712680",,Steglitz-Zehlendorf,Dahlem,west
U-Bhf. Thielplatz,autobus,A10,1965178,"52.45104521,13.28173642",,Steglitz-Zehlendorf,Dahlem,west
Berlinerstrasse Ecke Thielallee,autobus,A10,1965179,"52.44181287,13.28274544",,Steglitz-Zehlendorf,Zehlendorf,west
Berlinerstrasse Ecke Sundgauerstrasse,autobus,A10,1965180,"52.43833478,13.27141130",,Steglitz-Zehlendorf,Zehlendorf,west
Teltowerdamm Ecke Clayallee,autobus,A10,1965181,"52.43506014,13.26041541",,Steglitz-Zehlendorf,Zehlendorf,west
Teltowerdamm Ecke Machnowerstrasse,autobus,A10,1965182,"52.43081551,13.25929641",,Steglitz-Zehlendorf,Zehlendorf,west
Behring-Krankenhaus,autobus,A10,1965183,"52.42410895,13.25176454",,Steglitz-Zehlendorf,Zehlendorf,west
Lupsteinerweg Ecke Sachtlebenstrasse,autobus,A10,1965184,"52.40951067,13.25160884",,Steglitz-Zehlendorf,Zehlendorf,west
